id,date,trade_code,high,low,open,close,volume,created_at,updated_at
,7/2/2020,1STPRIMFMF,12.2,12,12.1,12.2,"138,041",,
,8/10/2020,AAMRANET,39.5,37.9,38.6,38.8,"342,588",,
,8/9/2020,AAMRANET,38.8,37.9,38.4,38.5,"259,858",,
,8/6/2020,AAMRANET,38,34,37.2,37.6,"156,814",,
,8/5/2020,AAMRANET,38,36.9,38,37,"134,013",,
,8/4/2020,AAMRANET,39,37.4,39,37.7,"275,523",,
,8/3/2020,AAMRANET,38.8,37.9,38.4,38.5,"215,009",,
,7/30/2020,AAMRANET,38.6,35.7,38.5,37.6,"320,701",,
,7/29/2020,AAMRANET,39.8,37.8,38.4,38.5,"271,038",,
,7/28/2020,AAMRANET,38.4,36.1,36.3,38.1,"304,577",,
,7/27/2020,AAMRANET,37.2,36,36.8,36.3,"158,528",,
,7/26/2020,AAMRANET,37.1,35.5,36.3,36.8,"196,257",,
,7/23/2020,AAMRANET,36.1,34.7,35,35.9,"254,832",,
,7/22/2020,AAMRANET,35.5,34.2,34.3,35,"208,705",,
,7/21/2020,AAMRANET,34.3,33.4,33.5,34.1,"190,123",,
,7/20/2020,AAMRANET,34,33.2,33.2,33.4,"52,406",,
,7/19/2020,AAMRANET,33.2,33.2,33.2,33.2,"64,921",,
,7/16/2020,AAMRANET,33.5,33.2,33.3,33.3,"54,187",,
,7/15/2020,AAMRANET,33.5,33.2,33.4,33.3,"60,526",,
,7/14/2020,AAMRANET,34.9,33.2,33.9,33.4,"84,552",,
,7/13/2020,AAMRANET,35.5,33.8,35,33.9,"109,991",,
,7/12/2020,AAMRANET,35.5,34.6,35,35.1,"21,288",,
,7/9/2020,AAMRANET,35.3,33.5,33.5,35,"79,126",,
,7/8/2020,AAMRANET,35.4,33.2,33.2,33.3,"126,450",,
,7/7/2020,AAMRANET,33.2,33.2,33.2,33.2,"54,400",,
,7/6/2020,AAMRANET,33.2,33.2,33.2,33.2,94,,
,7/5/2020,AAMRANET,33.2,33.2,33.2,33.2,300,,
,7/2/2020,AAMRANET,33.2,33.2,33.2,33.2,"19,025",,
,8/10/2020,AAMRATECH,26.2,25.5,26.2,25.6,"72,269",,
,8/9/2020,AAMRATECH,26.4,25.4,26.2,26.2,"123,713",,
,8/6/2020,AAMRATECH,26,24.9,24.9,25.8,"137,456",,
,8/5/2020,AAMRATECH,25,24.5,24.8,24.9,"72,482",,
,8/4/2020,AAMRATECH,25.6,24.5,25.3,24.8,"87,772",,
,8/3/2020,AAMRATECH,25.6,24.7,25.5,25.3,"90,096",,
,7/30/2020,AAMRATECH,25.9,24.5,25,25.4,"216,512",,
,7/29/2020,AAMRATECH,25.2,24.1,24.1,25,"126,507",,
,7/28/2020,AAMRATECH,24,23.5,23.7,23.9,"68,336",,
,7/27/2020,AAMRATECH,23.8,23.4,23.4,23.5,"33,870",,
,7/26/2020,AAMRATECH,23.9,23.2,23.5,23.4,"51,325",,
,7/23/2020,AAMRATECH,23.7,23,23,23.5,"28,574",,
,7/22/2020,AAMRATECH,23.6,23,23.5,23.1,"33,754",,
,7/21/2020,AAMRATECH,23.1,23,23,23,"26,121",,
,7/20/2020,AAMRATECH,23,23,23,23,"12,726",,
,7/19/2020,AAMRATECH,23,23,23,23,6,,
,7/16/2020,AAMRATECH,23,23,23,23,"7,085",,
,7/15/2020,AAMRATECH,23,23,23,23,"4,665",,
,7/14/2020,AAMRATECH,23,23,23,23,"2,990",,
,7/13/2020,AAMRATECH,23.4,23,23.1,23.1,"77,654",,
,7/12/2020,AAMRATECH,23.9,23,23.2,23.1,"22,209",,
,7/9/2020,AAMRATECH,23.8,23,23,23.1,"44,283",,
,7/8/2020,AAMRATECH,23,23,23,23,"3,325",,
,7/7/2020,AAMRATECH,23,23,23,23,170,,
,7/6/2020,AAMRATECH,23,23,23,23,"10,500",,
,7/5/2020,AAMRATECH,23,23,23,23,"3,400",,
,7/2/2020,AAMRATECH,23,23,23,23,"2,005",,
,8/10/2020,ABB1STMF,4.4,4.2,4.4,4.2,"2,897,616",,
,8/9/2020,ABB1STMF,4.4,4.2,4.3,4.4,"236,476",,
,8/6/2020,ABB1STMF,4.3,4.2,4.2,4.2,"1,230,200",,
,8/5/2020,ABB1STMF,4.2,4.2,4.2,4.2,"1,314,565",,
,8/4/2020,ABB1STMF,4.2,4.2,4.2,4.2,"117,841",,
,8/3/2020,ABB1STMF,4.2,4.2,4.2,4.2,"162,938",,
,7/30/2020,ABB1STMF,4.2,4.2,4.2,4.2,"57,880",,
,7/29/2020,ABB1STMF,4.2,4.2,4.2,4.2,"338,611",,
,7/28/2020,ABB1STMF,4.3,4.2,4.2,4.2,"134,784",,
,7/27/2020,ABB1STMF,4.2,4.2,4.2,4.2,"66,160",,
,7/26/2020,ABB1STMF,4.2,4.2,4.2,4.2,"66,981",,
,7/23/2020,ABB1STMF,4.3,4.2,4.3,4.2,"126,210",,
,7/22/2020,ABB1STMF,4.3,4.2,4.2,4.2,"68,751",,
,7/21/2020,ABB1STMF,4.4,4.2,4.2,4.2,"85,813",,
,7/20/2020,ABB1STMF,4.2,4.2,4.2,4.2,"63,666",,
,7/19/2020,ABB1STMF,4.2,4.2,4.2,4.2,"76,340",,
,7/16/2020,ABB1STMF,4.2,4.2,4.2,4.2,"78,806",,
,7/15/2020,ABB1STMF,4.2,4.2,4.2,4.2,"69,309",,
,7/14/2020,ABB1STMF,4.2,4.2,4.2,4.2,"47,792",,
,7/13/2020,ABB1STMF,4.2,4.2,4.2,4.2,"62,183",,
,7/12/2020,ABB1STMF,4.2,4.2,4.2,4.2,"63,937",,
,7/9/2020,ABB1STMF,4.2,4.2,4.2,4.2,"108,139",,
,7/8/2020,ABB1STMF,4.2,4.2,4.2,4.2,"67,014",,
,7/7/2020,ABB1STMF,4.2,4.2,4.2,4.2,"75,648",,
,7/6/2020,ABB1STMF,0,0,0,4.2,0,,
,7/5/2020,ABB1STMF,4.2,4.2,4.2,4.2,55,,
,7/2/2020,ABB1STMF,0,0,0,4.2,0,,
,8/10/2020,ABBANK,0,0,0,8.2,0,,
,8/9/2020,ABBANK,8.3,7.6,7.7,8.2,"2,317,549",,
,8/6/2020,ABBANK,7.8,7.4,7.5,7.7,"987,896",,
,8/5/2020,ABBANK,7.9,7.5,7.9,7.6,"1,090,726",,
,8/4/2020,ABBANK,8,7.6,7.6,7.8,"1,043,741",,
,8/3/2020,ABBANK,8,7.2,7.3,7.6,"1,168,318",,
,7/30/2020,ABBANK,7.3,7,7.1,7.3,"371,972",,
,7/29/2020,ABBANK,7.2,7,7.1,7.1,"443,726",,
,7/28/2020,ABBANK,7.2,7,7.1,7.1,"238,421",,
,7/27/2020,ABBANK,7.2,7,7,7.1,"283,201",,
,7/26/2020,ABBANK,7.1,6.9,7,7,"206,026",,
,7/23/2020,ABBANK,7,6.9,6.9,7,"48,080",,
,7/22/2020,ABBANK,7,6.8,6.9,6.9,"504,247",,
,7/21/2020,ABBANK,7.1,6.8,6.8,6.9,"280,801",,
,7/20/2020,ABBANK,7,6.8,6.9,6.9,"154,503",,
,7/19/2020,ABBANK,7,6.8,6.9,6.9,"228,753",,
,7/16/2020,ABBANK,7,6.8,6.9,6.9,"296,191",,
,7/15/2020,ABBANK,7.1,6.9,7,6.9,"264,428",,
,7/14/2020,ABBANK,7.1,6.9,7.1,7,"162,586",,
,7/13/2020,ABBANK,7.2,6.9,7.1,7,"413,990",,
,7/12/2020,ABBANK,7.3,7.1,7.3,7.2,"418,337",,
,7/9/2020,ABBANK,7.4,7.1,7.2,7.3,"300,516",,
,7/8/2020,ABBANK,7.2,6.9,6.9,7.2,"338,246",,
,7/7/2020,ABBANK,7.1,6.9,6.9,6.9,"407,874",,
,7/6/2020,ABBANK,7,6.8,6.8,6.9,"192,461",,
,7/5/2020,ABBANK,7.2,6.7,7.1,6.8,"917,556",,
,7/2/2020,ABBANK,7.3,6.8,6.8,7.2,"368,563",,
,8/10/2020,ACFL,23.9,22.3,23.3,23.2,"574,865",,
,8/9/2020,ACFL,23.3,21.8,21.8,23.3,"654,671",,
,8/6/2020,ACFL,21.2,19.2,19.5,21.2,"420,902",,
,8/5/2020,ACFL,20,19.1,19.8,19.3,"152,174",,
,8/4/2020,ACFL,20.4,19.7,19.8,19.9,"187,990",,
,8/3/2020,ACFL,20.3,19.6,20.1,19.8,"215,279",,
,7/30/2020,ACFL,20.6,19.2,19.2,20.1,"348,830",,
,7/29/2020,ACFL,19.4,18.6,18.6,19.2,"166,950",,
,7/28/2020,ACFL,19,18.6,18.7,18.6,"56,412",,
,7/27/2020,ACFL,19,18.6,18.6,18.7,"92,313",,
,7/26/2020,ACFL,19.4,18.6,19,18.6,"163,363",,
,7/23/2020,ACFL,19.2,18.6,18.6,18.9,"188,917",,
,7/22/2020,ACFL,18.6,18.6,18.6,18.6,"3,830",,
,7/21/2020,ACFL,18.6,18.6,18.6,18.6,"5,540",,
,7/20/2020,ACFL,18.6,18.6,18.6,18.6,10,,
,7/19/2020,ACFL,0,0,0,18.6,0,,
,7/16/2020,ACFL,18.6,18.6,18.6,18.6,5,,
,7/15/2020,ACFL,18.6,18.6,18.6,18.6,300,,
,7/14/2020,ACFL,18.6,18.6,18.6,18.6,"1,000",,
,7/13/2020,ACFL,18.8,18.6,18.6,18.6,"67,512",,
,7/12/2020,ACFL,18.9,18.6,18.6,18.6,"96,697",,
,7/9/2020,ACFL,19.4,18.6,18.6,18.6,"201,275",,
,7/8/2020,ACFL,18.6,18.6,18.6,18.6,100,,
,7/7/2020,ACFL,18.6,18.6,18.6,18.6,244,,
,7/6/2020,ACFL,18.6,18.6,18.6,18.6,1,,
,7/5/2020,ACFL,18.6,18.6,18.6,18.6,200,,
,7/2/2020,ACFL,18.6,18.6,18.6,18.6,200,,
,8/10/2020,ACI,271,263,269.1,265.2,"146,119",,
,8/9/2020,ACI,276.2,262.1,262.1,269,"203,746",,
,8/6/2020,ACI,266,249.7,251,261.9,"153,768",,
,8/5/2020,ACI,256.1,245.1,255.9,250.6,"93,831",,
,8/4/2020,ACI,260,248.4,249,255.9,"103,405",,
,8/3/2020,ACI,254,243.2,245,249,"139,763",,
,7/30/2020,ACI,245,236,238.7,242.3,"101,852",,
,7/29/2020,ACI,239.9,231,232,238.8,"136,307",,
,7/28/2020,ACI,232.5,223,232.5,229.5,"93,345",,
,7/27/2020,ACI,238.7,225.5,228,234.5,"206,465",,
,7/26/2020,ACI,229.1,210,210,223.5,"181,208",,
,7/23/2020,ACI,212.3,208.1,210.3,210.7,"61,508",,
,7/22/2020,ACI,211.1,208,209.4,210.3,"61,222",,
,7/21/2020,ACI,210,205.8,206.3,209.4,"64,406",,
,7/20/2020,ACI,207,203,203,206.4,"58,212",,
,7/19/2020,ACI,207,203.5,207,205.4,"35,399",,
,7/16/2020,ACI,209.9,207.6,208,208,"52,204",,
,7/15/2020,ACI,208.9,205.5,205.6,208.1,"56,084",,
,7/14/2020,ACI,212.9,206,209.4,207.7,"74,735",,
,7/13/2020,ACI,215,207.5,213.7,209.3,"71,577",,
,7/12/2020,ACI,215,205.5,210,213.7,"118,840",,
,7/9/2020,ACI,210.5,199.6,200.1,208,"167,651",,
,7/8/2020,ACI,205,199.6,201.9,200.7,"106,796",,
,7/7/2020,ACI,203.5,196.5,197.8,201.9,"98,599",,
,7/6/2020,ACI,198.6,191,192.6,197.4,"69,717",,
,7/5/2020,ACI,197.4,191.5,197.1,192.6,"45,213",,
,7/2/2020,ACI,203.1,197.3,203.1,198,"65,034",,
,8/10/2020,ACIFORMULA,127.8,123.2,127.1,125.6,"91,930",,
,8/9/2020,ACIFORMULA,131,125,127.4,126.4,"70,409",,
,8/6/2020,ACIFORMULA,127,122.1,122.1,125.5,"85,651",,
,8/5/2020,ACIFORMULA,128.8,120.7,126.7,122.8,"105,287",,
,8/4/2020,ACIFORMULA,132.2,126,131.9,126.7,"84,999",,
,8/3/2020,ACIFORMULA,134,123,125.9,129.4,"92,759",,
,7/30/2020,ACIFORMULA,127,122.1,124.8,123.9,"88,376",,
,7/29/2020,ACIFORMULA,126.8,120.4,121,125.4,"148,534",,
,7/28/2020,ACIFORMULA,121,114.1,118,120.2,"75,211",,
,7/27/2020,ACIFORMULA,121.3,112.5,112.5,118,"196,646",,
,7/26/2020,ACIFORMULA,111.9,107,107,110.3,"63,306",,
,7/23/2020,ACIFORMULA,108.8,105.9,107.4,106.2,"31,459",,
,7/22/2020,ACIFORMULA,109.9,106.8,108.5,107.4,"32,657",,
,7/21/2020,ACIFORMULA,108.5,106.2,107,107.5,"26,696",,
,7/20/2020,ACIFORMULA,108.3,103.5,104,107,"34,186",,
,7/19/2020,ACIFORMULA,107.9,103.8,107.8,104.7,"42,277",,
,7/16/2020,ACIFORMULA,109.5,106.3,108.3,106.8,"35,949",,
,7/15/2020,ACIFORMULA,109.9,107.7,109.1,108.3,"45,707",,
,7/14/2020,ACIFORMULA,112.8,109,112.8,109.5,"41,272",,
,7/13/2020,ACIFORMULA,115.4,110.5,113,111.4,"60,456",,
,7/12/2020,ACIFORMULA,114,108,109.1,113.4,"81,873",,
,7/9/2020,ACIFORMULA,111.4,107.7,107.7,109.2,"73,515",,
,7/8/2020,ACIFORMULA,110.8,108,108.8,108.5,"79,218",,
,7/7/2020,ACIFORMULA,109.9,107.1,108.9,108.8,"49,120",,
,7/6/2020,ACIFORMULA,108.8,105,106.4,108.1,"34,343",,
,7/5/2020,ACIFORMULA,108.9,106.1,108.9,106.7,"34,141",,
,7/2/2020,ACIFORMULA,110.2,107.8,110.2,108.9,"37,951",,
,8/10/2020,ACMELAB,71.4,68.4,70,69.7,"738,872",,
,8/9/2020,ACMELAB,70.5,67.5,67.5,69.5,"586,307",,
,8/6/2020,ACMELAB,67.5,65.8,66.9,67.1,"253,378",,
,8/5/2020,ACMELAB,68.3,66.1,68.3,66.8,"272,674",,
,8/4/2020,ACMELAB,68.4,65.3,65.8,68.2,"464,061",,
,8/3/2020,ACMELAB,66.3,64.6,64.8,65.8,"446,921",,
,7/30/2020,ACMELAB,64.5,62.8,63.6,64.4,"725,734",,
,7/29/2020,ACMELAB,63.9,63.2,63.5,63.6,"74,496",,
,7/28/2020,ACMELAB,64,63.6,63.9,63.6,"116,414",,
,7/27/2020,ACMELAB,64,63.1,63.3,63.8,"209,900",,
,7/26/2020,ACMELAB,63.5,62.3,62.4,63.3,"120,544",,
,7/23/2020,ACMELAB,62.7,62.2,62.7,62.6,"74,833",,
,7/22/2020,ACMELAB,63,62.4,62.8,62.7,"81,731",,
,7/21/2020,ACMELAB,63.2,62.7,62.9,62.8,"62,047",,
,7/20/2020,ACMELAB,63.3,61.2,62.2,63,"116,165",,
,7/19/2020,ACMELAB,63.5,61.7,63.5,62.3,"114,407",,
,7/16/2020,ACMELAB,64,63.3,64,63.5,"121,263",,
,7/15/2020,ACMELAB,64.4,63,63.4,64,"244,354",,
,7/14/2020,ACMELAB,64.3,62.9,63,63.4,"184,657",,
,7/13/2020,ACMELAB,64.6,63,63.8,63.3,"194,421",,
,7/12/2020,ACMELAB,64.1,62.4,63,63.8,"365,920",,
,7/9/2020,ACMELAB,63.5,62.1,63.2,62.8,"352,739",,
,7/8/2020,ACMELAB,63.3,61.9,62.3,63.2,"354,604",,
,7/7/2020,ACMELAB,63,61.7,61.7,62.3,"190,175",,
,7/6/2020,ACMELAB,62.2,61,61.8,61.6,"208,580",,
,7/5/2020,ACMELAB,62.1,61.6,62.1,61.8,"124,940",,
,7/2/2020,ACMELAB,63.4,62,63.4,62.3,"225,686",,
,8/10/2020,ACTIVEFINE,18.3,17.2,18.2,17.4,"3,796,431",,
,8/9/2020,ACTIVEFINE,19,17.8,18.2,18.1,"3,764,577",,
,8/6/2020,ACTIVEFINE,19,17,17.5,18.1,"4,939,054",,
,8/5/2020,ACTIVEFINE,18,16.6,17.1,17.5,"4,598,881",,
,8/4/2020,ACTIVEFINE,16.9,15.6,16.5,16.9,"6,180,477",,
,8/3/2020,ACTIVEFINE,15.4,14.2,14.2,15.4,"2,384,240",,
,7/30/2020,ACTIVEFINE,14,12.9,12.9,14,"3,550,020",,
,7/29/2020,ACTIVEFINE,13,12.5,12.6,12.8,"1,199,749",,
,7/28/2020,ACTIVEFINE,12.6,12.4,12.5,12.5,"666,145",,
,7/27/2020,ACTIVEFINE,12.6,12.4,12.5,12.4,"511,083",,
,7/26/2020,ACTIVEFINE,12.6,12.3,12.5,12.5,"350,791",,
,7/23/2020,ACTIVEFINE,12.5,12.3,12.5,12.3,"493,994",,
,7/22/2020,ACTIVEFINE,12.8,12.4,12.6,12.5,"325,053",,
,7/21/2020,ACTIVEFINE,12.6,12.3,12.3,12.6,"624,031",,
,7/20/2020,ACTIVEFINE,12.5,12.3,12.3,12.4,"469,308",,
,7/19/2020,ACTIVEFINE,12.5,12.3,12.5,12.3,"251,285",,
,7/16/2020,ACTIVEFINE,12.6,12.3,12.5,12.5,"509,412",,
,7/15/2020,ACTIVEFINE,12.9,12.3,12.7,12.5,"979,271",,
,7/14/2020,ACTIVEFINE,13.3,12.6,13.2,12.7,"566,425",,
,7/13/2020,ACTIVEFINE,13.6,13,13.5,13.1,"940,115",,
,7/12/2020,ACTIVEFINE,13.6,13,13.3,13.4,"789,350",,
,7/9/2020,ACTIVEFINE,13.5,12.3,12.3,13.3,"2,687,788",,
,7/8/2020,ACTIVEFINE,12.3,12.3,12.3,12.3,"89,746",,
,7/7/2020,ACTIVEFINE,12.3,12.3,12.3,12.3,"21,847",,
